Domain,Area,Element,Months,Year,Value
"Temperature change on land","Caribbean","Temperature change","November","1972","0.922"
"Temperature change on land","Caribbean","Temperature change","November","1973","0.38"
"Temperature change on land","Caribbean","Temperature change","November","1974","-0.079"
"Temperature change on land","Caribbean","Temperature change","November","1975","-0.136"
"Temperature change on land","Caribbean","Temperature change","November","1976","0.682"
"Temperature change on land","Caribbean","Temperature change","November","1977","0.579"
"Temperature change on land","Caribbean","Temperature change","November","1978","0.254"
"Temperature change on land","Caribbean","Temperature change","November","1979","0.716"
"Temperature change on land","Caribbean","Temperature change","November","1980","0.889"
"Temperature change on land","Caribbean","Temperature change","November","1981","0.098"
"Temperature change on land","Caribbean","Temperature change","November","1982","0.359"
"Temperature change on land","Caribbean","Temperature change","November","1983","0.57"
"Temperature change on land","Caribbean","Temperature change","November","1984","-0.207"
"Temperature change on land","Caribbean","Temperature change","November","1985","0.639"
"Temperature change on land","Caribbean","Temperature change","November","1986","1.329"
"Temperature change on land","Caribbean","Temperature change","November","1987","1.034"
"Temperature change on land","Caribbean","Temperature change","November","1988","0.823"
"Temperature change on land","Caribbean","Temperature change","November","1989","1.093"
"Temperature change on land","Caribbean","Temperature change","November","1990","0.5"
"Temperature change on land","Caribbean","Temperature change","November","1991","0.537"
"Temperature change on land","Caribbean","Temperature change","November","1992","0.983"
"Temperature change on land","Caribbean","Temperature change","November","1993","1.125"
"Temperature change on land","Caribbean","Temperature change","November","1994","1.368"
"Temperature change on land","Caribbean","Temperature change","November","1995","1.092"
"Temperature change on land","Caribbean","Temperature change","November","1996","0.497"
"Temperature change on land","Caribbean","Temperature change","November","1997","1.022"
"Temperature change on land","Caribbean","Temperature change","November","1998","1.099"
"Temperature change on land","Caribbean","Temperature change","November","1999","0.519"
"Temperature change on land","Caribbean","Temperature change","November","2000","0.079"
"Temperature change on land","Caribbean","Temperature change","November","2001","-0.046"
"Temperature change on land","Caribbean","Temperature change","November","2002","1.229"
"Temperature change on land","Caribbean","Temperature change","November","2003","1.077"
"Temperature change on land","Caribbean","Temperature change","November","2004","0.79"
"Temperature change on land","Caribbean","Temperature change","November","2005","0.914"
"Temperature change on land","Caribbean","Temperature change","November","2006","0.716"
"Temperature change on land","Caribbean","Temperature change","November","2007","0.285"
"Temperature change on land","Caribbean","Temperature change","November","2008","-0.071"
"Temperature change on land","Caribbean","Temperature change","November","2009","0.838"
"Temperature change on land","Caribbean","Temperature change","November","2010","0.141"
"Temperature change on land","Caribbean","Temperature change","November","2011","0.792"
"Temperature change on land","Caribbean","Temperature change","November","2012","-0.091"
"Temperature change on land","Caribbean","Temperature change","November","2013","1.622"
"Temperature change on land","Caribbean","Temperature change","November","2014","0.66"
"Temperature change on land","Caribbean","Temperature change","November","2015","1.996"
"Temperature change on land","Caribbean","Temperature change","November","2016","0.632"
"Temperature change on land","Caribbean","Temperature change","November","2017","0.899"
"Temperature change on land","Caribbean","Temperature change","November","2018","1.866"
"Temperature change on land","Caribbean","Temperature change","November","2019","1.368"
"Temperature change on land","Caribbean","Temperature change","November","2020","1.038"
"Temperature change on land","Caribbean","Temperature change","November","2021","0.875"
"Temperature change on land","Caribbean","Temperature change","November","2022","1.435"
"Temperature change on land","Caribbean","Temperature change","November","2023","1.819"
"Temperature change on land","Caribbean","Temperature change","December","1961","-0.183"
"Temperature change on land","Caribbean","Temperature change","December","1962","-0.456"
"Temperature change on land","Caribbean","Temperature change","December","1963","-0.235"
"Temperature change on land","Caribbean","Temperature change","December","1964","0.204"
"Temperature change on land","Caribbean","Temperature change","December","1965","0.012"
"Temperature change on land","Caribbean","Temperature change","December","1966","-0.735"
"Temperature change on land","Caribbean","Temperature change","December","1967","0.234"
"Temperature change on land","Caribbean","Temperature change","December","1968","-0.369"
"Temperature change on land","Caribbean","Temperature change","December","1969","-0.586"
"Temperature change on land","Caribbean","Temperature change","December","1970","0.252"
"Temperature change on land","Caribbean","Temperature change","December","1971","0.81"
"Temperature change on land","Caribbean","Temperature change","December","1972","0.942"
"Temperature change on land","Caribbean","Temperature change","December","1973","-0.731"
"Temperature change on land","Caribbean","Temperature change","December","1974","0.05"
"Temperature change on land","Caribbean","Temperature change","December","1975","-0.833"
"Temperature change on land","Caribbean","Temperature change","December","1976","0.745"
"Temperature change on land","Caribbean","Temperature change","December","1977","0.528"
"Temperature change on land","Caribbean","Temperature change","December","1978","1.138"
"Temperature change on land","Caribbean","Temperature change","December","1979","0.597"
"Temperature change on land","Caribbean","Temperature change","December","1980","0.102"
"Temperature change on land","Caribbean","Temperature change","December","1981","0.499"
"Temperature change on land","Caribbean","Temperature change","December","1982","0.511"
"Temperature change on land","Caribbean","Temperature change","December","1983","1.35"
"Temperature change on land","Caribbean","Temperature change","December","1984","0.167"
